STATEFIPS,STATE,zipcode,agi_stub,N1,mars1,N07240
1,AL,0,1,768120,466830,35440
1,AL,0,2,503430,225110,89680
1,AL,0,3,274590,95560,21450
1,AL,0,4,174830,35560,0
1,AL,0,5,245150,25990,0
1,AL,0,6,70170,4300,0
1,AL,35004,1,1460,950,70
1,AL,35004,2,1330,650,240
1,AL,35004,3,990,370,90
1,AL,35004,4,610,110,0
1,AL,35004,5,740,70,0
1,AL,35004,6,70,0,0
1,AL,35005,1,1280,760,80
1,AL,35005,2,990,420,220
1,AL,35005,3,490,170,40
1,AL,35005,4,240,60,0
1,AL,35005,5,190,0,0
1,AL,35005,6,0,0,0
1,AL,35006,1,390,240,0
1,AL,35006,2,340,160,60
1,AL,35006,3,190,60,30
1,AL,35006,4,170,30,0
1,AL,35006,5,150,0,0
1,AL,35006,6,0,0,0
1,AL,35007,1,3840,2590,160
1,AL,35007,2,2710,1260,460
1,AL,35007,3,1840,610,160
1,AL,35007,4,1400,220,0
1,AL,35007,5,1960,140,0
1,AL,35007,6,300,20,0
1,AL,35010,1,3380,1800,150
1,AL,35010,2,2140,810,390
1,AL,35010,3,870,240,90
1,AL,35010,4,560,80,0
1,AL,35010,5,680,60,0
1,AL,35010,6,210,20,0
1,AL,35014,1,610,360,40
1,AL,35014,2,470,170,120
1,AL,35014,3,210,60,0
1,AL,35014,4,140,30,0
1,AL,35014,5,140,0,0
1,AL,35014,6,30,0,0
1,AL,35016,1,2640,1670,150
1,AL,35016,2,1830,760,360
1,AL,35016,3,1060,290,130
1,AL,35016,4,720,100,0
1,AL,35016,5,820,60,0
1,AL,35016,6,140,0,0
1,AL,35019,1,340,190,0
1,AL,35019,2,240,90,60
1,AL,35019,3,150,40,30
1,AL,35019,4,70,0,0
1,AL,35019,5,90,0,0
1,AL,35019,6,0,0,0
1,AL,35020,1,5210,2460,300
1,AL,35020,2,2540,990,510
1,AL,35020,3,760,320,30
1,AL,35020,4,260,70,0
1,AL,35020,5,180,40,0
1,AL,35020,6,0,0,0
1,AL,35022,1,3210,2010,160
1,AL,35022,2,2540,1210,420
1,AL,35022,3,1660,670,70
1,AL,35022,4,1110,300,0
1,AL,35022,5,1410,180,0
1,AL,35022,6,240,0,0
1,AL,35023,1,3420,2110,160
1,AL,35023,2,3000,1290,560
1,AL,35023,3,1610,510,130
1,AL,35023,4,990,170,0
1,AL,35023,5,990,90,0
1,AL,35023,6,110,0,0
1,AL,35031,1,1150,630,50
1,AL,35031,2,840,310,160
1,AL,35031,3,470,100,70
1,AL,35031,4,250,30,0
1,AL,35031,5,220,0,0
1,AL,35031,6,30,0,0
1,AL,35033,1,470,280,20
1,AL,35033,2,340,130,60
1,AL,35033,3,200,40,30
1,AL,35033,4,160,30,0
1,AL,35033,5,160,0,0
1,AL,35033,6,40,0,0
1,AL,35034,1,600,270,40
1,AL,35034,2,370,130,90
1,AL,35034,3,160,50,0
1,AL,35034,4,80,20,0
1,AL,35034,5,100,0,0
1,AL,35034,6,0,0,0
1,AL,35035,1,230,120,0
1,AL,35035,2,140,60,50
1,AL,35035,3,80,30,0
1,AL,35035,4,60,20,0
1,AL,35035,5,60,0,0
1,AL,35035,6,0,0,0
1,AL,35040,1,2360,1510,120
1,AL,35040,2,2150,940,390
1,AL,35040,3,1520,510,130
1,AL,35040,4,840,130,0
1,AL,35040,5,890,100,0
1,AL,35040,6,120,0,0
1,AL,35042,1,870,460,30
1,AL,35042,2,550,230,90
1,AL,35042,3,330,100,30
1,AL,35042,4,220,30,0
1,AL,35042,5,240,20,0
1,AL,35042,6,30,0,0
1,AL,35043,1,1340,1040,50
1,AL,35043,2,860,410,140
1,AL,35043,3,770,240,60
1,AL,35043,4,780,140,0
1,AL,35043,5,1500,120,0
1,AL,35043,6,360,0,0
1,AL,35044,1,1290,710,60
1,AL,35044,2,880,340,180
1,AL,35044,3,410,130,30
1,AL,35044,4,240,40,0
1,AL,35044,5,250,30,0
1,AL,35044,6,40,0,0
1,AL,35045,1,2130,1190,100
1,AL,35045,2,1480,600,300
1,AL,35045,3,790,200,110
1,AL,35045,4,530,70,0
1,AL,35045,5,560,40,0
1,AL,35045,6,80,0,0
1,AL,35046,1,830,510,30
1,AL,35046,2,550,230,100
1,AL,35046,3,350,90,40
1,AL,35046,4,200,30,0
1,AL,35046,5,330,30,0
1,AL,35046,6,60,0,0
1,AL,35049,1,510,330,0
1,AL,35049,2,410,160,110
1,AL,35049,3,260,60,40
1,AL,35049,4,190,40,0
1,AL,35049,5,180,0,0
1,AL,35049,6,20,0,0
1,AL,35051,1,1240,790,50
1,AL,35051,2,780,340,120
1,AL,35051,3,440,120,60
1,AL,35051,4,340,50,0
1,AL,35051,5,470,50,0
1,AL,35051,6,150,0,0
1,AL,35053,1,340,210,0
1,AL,35053,2,260,110,70
1,AL,35053,3,140,60,0
1,AL,35053,4,110,0,0
1,AL,35053,5,190,30,0
1,AL,35053,6,60,0,0
1,AL,35054,1,580,370,30
1,AL,35054,2,330,150,50
1,AL,35054,3,260,90,30
1,AL,35054,4,220,50,0
1,AL,35054,5,310,40,0
1,AL,35054,6,80,0,0
1,AL,35055,1,2900,1920,130
1,AL,35055,2,2120,950,390
1,AL,35055,3,1140,330,120
1,AL,35055,4,760,100,0
1,AL,35055,5,920,100,0
1,AL,35055,6,220,0,0
1,AL,35057,1,1850,1130,80
1,AL,35057,2,1360,560,270
1,AL,35057,3,820,190,130
1,AL,35057,4,500,50,0
1,AL,35057,5,640,50,0
1,AL,35057,6,160,0,0
1,AL,35058,1,1540,920,70
1,AL,35058,2,1120,470,230
1,AL,35058,3,600,150,70
1,AL,35058,4,410,50,0
1,AL,35058,5,450,40,0
1,AL,35058,6,110,0,0
1,AL,35061,1,290,150,20
1,AL,35061,2,170,80,40
1,AL,35061,3,90,40,0
1,AL,35061,4,40,30,0
1,AL,35061,5,30,0,0
1,AL,35061,6,0,0,0
1,AL,35062,1,1020,640,50
1,AL,35062,2,760,310,110
1,AL,35062,3,520,130,50
1,AL,35062,4,370,40,0
1,AL,35062,5,490,20,0
1,AL,35062,6,60,0,0
1,AL,35063,1,460,250,20
1,AL,35063,2,350,130,80
1,AL,35063,3,180,60,0
1,AL,35063,4,110,0,0
1,AL,35063,5,120,0,0
1,AL,35063,6,0,0,0
1,AL,35064,1,1970,1020,120
1,AL,35064,2,1230,570,240
1,AL,35064,3,460,210,0
1,AL,35064,4,210,60,0
1,AL,35064,5,190,30,0
1,AL,35064,6,0,0,0
1,AL,35068,1,1160,720,70
1,AL,35068,2,1150,570,180
1,AL,35068,3,720,320,40
1,AL,35068,4,400,120,0
1,AL,35068,5,370,70,0
1,AL,35068,6,40,0,0
1,AL,35071,1,2080,1460,90
1,AL,35071,2,1870,930,280
1,AL,35071,3,1230,460,80
1,AL,35071,4,850,160,0
1,AL,35071,5,1310,130,0
1,AL,35071,6,260,20,0
1,AL,35072,1,780,410,50
1,AL,35072,2,550,190,110
1,AL,35072,3,230,50,0
1,AL,35072,4,120,20,0
1,AL,35072,5,110,0,0
1,AL,35072,6,0,0,0
1,AL,35073,1,380,220,0
1,AL,35073,2,290,130,80
1,AL,35073,3,140,60,0
1,AL,35073,4,70,0,0
1,AL,35073,5,60,0,0
1,AL,35073,6,0,0,0
1,AL,35077,1,2080,1260,110
1,AL,35077,2,1560,700,300
1,AL,35077,3,760,190,100
1,AL,35077,4,450,50,0
1,AL,35077,5,400,40,0
1,AL,35077,6,50,0,0
1,AL,35078,1,370,230,20
1,AL,35078,2,240,110,50
1,AL,35078,3,120,40,0
1,AL,35078,4,90,20,0
1,AL,35078,5,90,0,0
1,AL,35078,6,30,0,0
1,AL,35079,1,1110,710,40
1,AL,35079,2,860,350,170
1,AL,35079,3,620,140,70
1,AL,35079,4,460,40,0
1,AL,35079,5,470,20,0
1,AL,35079,6,50,0,0
1,AL,35080,1,2140,1650,90
1,AL,35080,2,1500,750,240
1,AL,35080,3,1250,440,100
1,AL,35080,4,1040,170,0
1,AL,35080,5,1960,140,0
1,AL,35080,6,380,20,0
1,AL,35083,1,400,220,0
1,AL,35083,2,350,130,100
1,AL,35083,3,180,50,40
1,AL,35083,4,120,0,0
1,AL,35083,5,120,0,0
1,AL,35083,6,0,0,0
1,AL,35085,1,1270,710,50
1,AL,35085,2,920,360,190
1,AL,35085,3,520,130,70
1,AL,35085,4,330,50,0
1,AL,35085,5,320,20,0
1,AL,35085,6,40,0,0
1,AL,35087,1,350,200,0
1,AL,35087,2,220,80,80
1,AL,35087,3,120,30,0
1,AL,35087,4,60,0,0
1,AL,35087,5,80,0,0
1,AL,35087,6,0,0,0
1,AL,35089,1,340,170,30
1,AL,35089,2,240,100,70
1,AL,35089,3,80,20,0
1,AL,35089,4,50,0,0
1,AL,35089,5,30,0,0
1,AL,35089,6,0,0,0
1,AL,35091,1,320,240,0
1,AL,35091,2,230,100,70
1,AL,35091,3,220,60,0
1,AL,35091,4,190,30,0
1,AL,35091,5,330,0,0
1,AL,35091,6,40,0,0
1,AL,35094,1,2090,1360,90
1,AL,35094,2,1640,760,270
1,AL,35094,3,1010,350,80
1,AL,35094,4,640,120,0
1,AL,35094,5,780,100,0
1,AL,35094,6,170,0,0
1,AL,35096,1,1210,700,60
1,AL,35096,2,900,340,180
1,AL,35096,3,520,160,40
1,AL,35096,4,400,70,0
1,AL,35096,5,350,50,0
1,AL,35096,6,70,0,0
1,AL,35097,1,260,180,0
1,AL,35097,2,190,80,50
1,AL,35097,3,130,50,0
1,AL,35097,4,80,0,0
1,AL,35097,5,100,0,0
1,AL,35097,6,0,0,0
1,AL,35098,1,220,130,0
1,AL,35098,2,150,70,40
1,AL,35098,3,80,0,0
1,AL,35098,4,50,0,0
1,AL,35098,5,60,0,0
1,AL,35098,6,0,0,0
1,AL,35111,1,1910,1310,60
1,AL,35111,2,1600,740,240
1,AL,35111,3,1250,400,100
1,AL,35111,4,950,190,0
1,AL,35111,5,1400,130,0
1,AL,35111,6,180,0,0
1,AL,35114,1,920,670,30
1,AL,35114,2,630,260,100
1,AL,35114,3,440,160,30
1,AL,35114,4,390,60,0
1,AL,35114,5,670,30,0
1,AL,35114,6,110,0,0
1,AL,35115,1,2220,1400,80
1,AL,35115,2,1360,600,220
1,AL,35115,3,750,240,80
1,AL,35115,4,430,80,0
1,AL,35115,5,500,40,0
1,AL,35115,6,90,0,0
1,AL,35116,1,580,390,20
1,AL,35116,2,450,190,80
1,AL,35116,3,310,90,30
1,AL,35116,4,240,40,0
1,AL,35116,5,390,30,0
1,AL,35116,6,70,0,0
1,AL,35117,1,680,490,20
1,AL,35117,2,630,330,80
1,AL,35117,3,470,150,40
1,AL,35117,4,370,50,0
1,AL,35117,5,490,40,0
1,AL,35117,6,70,0,0
1,AL,35118,1,460,270,30
1,AL,35118,2,370,170,70
1,AL,35118,3,200,60,20
1,AL,35118,4,130,30,0
1,AL,35118,5,160,0,0
1,AL,35118,6,0,0,0
1,AL,35120,1,1990,1220,80
1,AL,35120,2,1590,660,280
1,AL,35120,3,1110,290,130
1,AL,35120,4,730,90,0
1,AL,35120,5,860,50,0
1,AL,35120,6,90,0,0
1,AL,35121,1,2140,1300,70
1,AL,35121,2,1520,640,250
1,AL,35121,3,940,200,110
1,AL,35121,4,520,60,0
1,AL,35121,5,630,60,0
1,AL,35121,6,130,0,0
1,AL,35124,1,3210,2340,100
1,AL,35124,2,2470,1400,320
1,AL,35124,3,1800,800,120
1,AL,35124,4,1300,360,0
1,AL,35124,5,2310,270,0
1,AL,35124,6,740,40,0
1,AL,35125,1,1770,1030,100
1,AL,35125,2,1190,500,250
1,AL,35125,3,710,210,90
1,AL,35125,4,410,60,0
1,AL,35125,5,330,30,0
1,AL,35125,6,50,0,0
1,AL,35126,1,3020,2010,160
1,AL,35126,2,2540,1160,460
1,AL,35126,3,1640,540,140
1,AL,35126,4,1090,170,0
1,AL,35126,5,1140,110,0
1,AL,35126,6,110,0,0
1,AL,35127,1,1360,890,70
1,AL,35127,2,1260,570,260
1,AL,35127,3,760,260,30
1,AL,35127,4,430,90,0
1,AL,35127,5,500,60,0
1,AL,35127,6,40,0,0
1,AL,35128,1,1390,920,70
1,AL,35128,2,980,460,180
1,AL,35128,3,670,220,70
1,AL,35128,4,470,70,0
1,AL,35128,5,680,70,0
1,AL,35128,6,170,0,0
1,AL,35130,1,450,270,0
1,AL,35130,2,370,160,80
1,AL,35130,3,180,50,30
1,AL,35130,4,130,20,0
1,AL,35130,5,120,0,0
1,AL,35130,6,0,0,0
1,AL,35131,1,610,350,30
1,AL,35131,2,440,170,100
1,AL,35131,3,260,70,30
1,AL,35131,4,130,30,0
1,AL,35131,5,130,0,0
1,AL,35131,6,0,0,0
1,AL,35133,1,550,360,0
1,AL,35133,2,440,170,90
1,AL,35133,3,290,70,30
1,AL,35133,4,200,30,0
1,AL,35133,5,200,0,0
1,AL,35133,6,0,0,0
1,AL,35135,1,270,170,0
1,AL,35135,2,200,90,80
1,AL,35135,3,120,40,0
1,AL,35135,4,80,30,0
1,AL,35135,5,140,0,0
1,AL,35135,6,0,0,0
1,AL,35136,1,240,140,0
1,AL,35136,2,170,70,40
1,AL,35136,3,100,50,0
1,AL,35136,4,70,0,0
1,AL,35136,5,80,0,0
1,AL,35136,6,0,0,0
1,AL,35143,1,440,280,0
1,AL,35143,2,300,140,70
1,AL,35143,3,180,60,0
1,AL,35143,4,130,40,0
1,AL,35143,5,150,0,0
1,AL,35143,6,40,0,0
1,AL,35146,1,1260,820,50
1,AL,35146,2,980,440,160
1,AL,35146,3,720,220,70
1,AL,35146,4,610,70,0
1,AL,35146,5,880,60,0
1,AL,35146,6,170,0,0
1,AL,35147,1,630,430,20
1,AL,35147,2,470,230,70
1,AL,35147,3,380,100,40
1,AL,35147,4,300,60,0
1,AL,35147,5,430,50,0
1,AL,35147,6,120,0,0
1,AL,35148,1,430,250,0
1,AL,35148,2,310,130,80
1,AL,35148,3,140,60,0
1,AL,35148,4,110,0,0
1,AL,35148,5,90,0,0
1,AL,35148,6,0,0,0
1,AL,35150,1,3020,1770,170
1,AL,35150,2,1910,780,390
1,AL,35150,3,920,290,90
1,AL,35150,4,520,80,0
1,AL,35150,5,540,50,0
1,AL,35150,6,90,0,0
1,AL,35151,1,1000,620,40
1,AL,35151,2,760,310,140
1,AL,35151,3,490,150,40
1,AL,35151,4,310,50,0
1,AL,35151,5,330,20,0
1,AL,35151,6,50,0,0
1,AL,35160,1,4090,2200,270
1,AL,35160,2,2870,1070,670
1,AL,35160,3,1280,380,90
1,AL,35160,4,640,120,0
1,AL,35160,5,610,80,0
1,AL,35160,6,120,0,0
1,AL,35171,1,460,290,30
1,AL,35171,2,330,140,60
1,AL,35171,3,200,50,30
1,AL,35171,4,130,30,0
1,AL,35171,5,220,0,0
1,AL,35171,6,0,0,0
1,AL,35172,1,430,250,0
1,AL,35172,2,330,140,70
1,AL,35172,3,180,50,30
1,AL,35172,4,110,0,0
1,AL,35172,5,90,0,0
1,AL,35172,6,0,0,0
1,AL,35173,1,3160,2390,120
1,AL,35173,2,2280,1130,320
1,AL,35173,3,1830,640,140
1,AL,35173,4,1550,260,0
1,AL,35173,5,3330,230,0
1,AL,35173,6,990,50,0
1,AL,35175,1,670,430,30
1,AL,35175,2,520,210,90
1,AL,35175,3,350,80,50
1,AL,35175,4,200,30,0
1,AL,35175,5,310,30,0
1,AL,35175,6,40,0,0
1,AL,35176,1,120,70,0
1,AL,35176,2,100,60,30
1,AL,35176,3,50,0,0
1,AL,35176,4,30,0,0
1,AL,35176,5,30,0,0
1,AL,35176,6,0,0,0
1,AL,35178,1,560,320,20
1,AL,35178,2,390,160,100
1,AL,35178,3,220,60,0
1,AL,35178,4,120,30,0
1,AL,35178,5,130,0,0
1,AL,35178,6,30,0,0
1,AL,35179,1,1400,870,70
1,AL,35179,2,1040,440,200
1,AL,35179,3,590,130,90
1,AL,35179,4,380,40,0
1,AL,35179,5,410,20,0
1,AL,35179,6,70,0,0
1,AL,35180,1,1680,1100,70
1,AL,35180,2,1380,600,210
1,AL,35180,3,1020,260,120
1,AL,35180,4,700,80,0
1,AL,35180,5,870,60,0
1,AL,35180,6,100,0,0
1,AL,35183,1,100,60,20
1,AL,35183,2,90,60,0
1,AL,35183,3,40,0,0
1,AL,35183,4,30,0,0
1,AL,35183,5,30,0,0
1,AL,35183,6,0,0,0
1,AL,35184,1,710,410,30
1,AL,35184,2,640,270,110
1,AL,35184,3,330,80,40
1,AL,35184,4,200,30,0
1,AL,35184,5,210,0,0
1,AL,35184,6,0,0,0
1,AL,35186,1,600,420,20
1,AL,35186,2,420,180,60
1,AL,35186,3,310,90,30
1,AL,35186,4,210,40,0
1,AL,35186,5,410,30,0
1,AL,35186,6,110,0,0
1,AL,35188,1,350,230,0
1,AL,35188,2,270,110,50
1,AL,35188,3,200,60,30
1,AL,35188,4,150,30,0
1,AL,35188,5,170,0,0
1,AL,35188,6,0,0,0
1,AL,35203,1,530,360,30
1,AL,35203,2,280,190,40
1,AL,35203,3,180,130,0
1,AL,35203,4,110,80,0
1,AL,35203,5,190,100,0
1,AL,35203,6,150,50,0
1,AL,35204,1,2050,1070,100
1,AL,35204,2,930,400,200
1,AL,35204,3,240,120,0
1,AL,35204,4,90,30,0
1,AL,35204,5,60,20,0
1,AL,35204,6,0,0,0
1,AL,35205,1,2920,2260,140
1,AL,35205,2,2410,1850,220
1,AL,35205,3,970,690,40
1,AL,35205,4,400,250,0
1,AL,35205,5,530,210,0
1,AL,35205,6,360,90,0
1,AL,35206,1,3400,1820,200
1,AL,35206,2,1870,860,360
1,AL,35206,3,660,280,40
1,AL,35206,4,260,70,0
1,AL,35206,5,190,40,0
1,AL,35206,6,20,0,0
1,AL,35207,1,1870,940,110
1,AL,35207,2,860,370,160
